rank,channel,electrode_name,roi,roi_mapping_source,occ_score,occ_ci_lo,occ_ci_hi,occ_p_value,occ_fdr_p_value,occ_fdr_significant,occ_ci_significant,perm_score,perm_ci_lo,perm_ci_hi,perm_p_value,perm_fdr_p_value,perm_fdr_significant,perm_ci_significant,ig_rank,ig_importance,contribution_type,subject_stability,robust_significant,combined_score
1,14,C4,Central,montage_file,0.001764056686265969,0.0012612933011518584,0.0022486509654073067,0.0001999600079984003,0.0006094019291379819,True,True,0.003678317724922557,0.0030055969053028545,0.004315533265287493,0.0001999600079984003,0.0006094019291379819,True,True,2,0.0025250636972486973,facilitatory,12/18,True,3.7630202986616017
2,42,FC4,Fronto-Central,montage_file,0.0017425237209708602,0.0013864024658629924,0.002088530069332064,0.0001999600079984003,0.0006094019291379819,True,True,0.0024700089737221048,0.0019315594601226442,0.0030378209380088027,0.0001999600079984003,0.0006094019291379819,True,True,3,0.0024673030711710453,facilitatory,14/18,True,2.9463151351332457
3,13,Cz,Central,montage_file,0.001457234952184889,0.0010618459930942386,0.0018274299317487962,0.0001999600079984003,0.0006094019291379819,True,True,0.002639749903737763,0.0021198237131775165,0.0031536261359298664,0.0001999600079984003,0.0006094019291379819,True,True,9,0.001790907932445407,facilitatory,12/18,True,2.7055380995613456
4,51,CP4,Centro-Parietal,montage_file,0.0012366245006337577,0.0008146994274891458,0.0017114929554087142,0.0001999600079984003,0.0006094019291379819,True,True,0.0028693919086161955,0.0022728945889774663,0.0035514659096061445,0.0001999600079984003,0.0006094019291379819,True,True,1,0.0033312758896499872,facilitatory,13/18,True,2.58368423295801
5,43,FT8,Temporal,montage_file,0.001255446907914715,0.0009576391032264556,0.0015284092682011328,0.0001999600079984003,0.0006094019291379819,True,True,0.0018846559119813236,0.0014791467768358595,0.002286679811775684,0.0001999600079984003,0.0006094019291379819,True,True,8,0.0019191113533452153,facilitatory,13/18,True,1.96294117659429
6,8,FC1,Fronto-Central,montage_file,0.0010583798789683683,0.0007261581238773136,0.0013798988711686783,0.0001999600079984003,0.0006094019291379819,True,True,0.002094020523406841,0.0016481675574624981,0.0025304658059720642,0.0001999600079984003,0.0006094019291379819,True,True,14,0.0014765469823032618,facilitatory,11/18,True,1.8568575413487596
7,7,FC5,Fronto-Central,montage_file,0.0007611136009663712,0.00040559390316038957,0.0011107212811892406,0.0001999600079984003,0.0006094019291379819,True,True,0.0014275882089579547,0.0009052660046720211,0.0019122773293911673,0.0001999600079984003,0.0006094019291379819,True,True,13,0.001482596853747964,facilitatory,10/18,True,1.0545096963529326
8,15,T8,Temporal,montage_file,0.0006866867380377687,0.00040574815391022483,0.0009619956809429473,0.0001999600079984003,0.0006094019291379819,True,True,0.001456816965415154,0.0010537431421287268,0.0018525238933938522,0.0001999600079984003,0.0006094019291379819,True,True,6,0.0021376891527324915,facilitatory,13/18,True,0.9818510516006851
9,60,PO4,Parieto-Occipital,montage_file,0.0007587172734884568,0.00047268246748933087,0.001026756799975295,0.0001999600079984003,0.0006094019291379819,True,True,0.0012384876866399505,0.0008533737485607467,0.0016157329958162187,0.0001999600079984003,0.0006094019291379819,True,True,10,0.001596480025909841,facilitatory,12/18,True,0.9278956840040273
10,40,FT7,Temporal,montage_file,0.0007988649128395834,0.000617727228152899,0.0009811213013750535,0.0001999600079984003,0.0006094019291379819,True,True,0.0010420895910557405,0.0007730460037235861,0.00132037825146575,0.0001999600079984003,0.0006094019291379819,True,True,16,0.0012857808033004403,facilitatory,13/18,True,0.8489685357485068
