rank,channel_index,electrode_name,roi,occlusion_delta_p,occlusion_ci_low,occlusion_ci_high,occ_p_value,occ_fdr_p_value,permutation_delta_p,permutation_ci_low,permutation_ci_high,perm_p_value,perm_fdr_p_value,ig_rank,contribution_type,subject_stability,robust_significant,best_frequency_band,delta_score,theta_score,alpha_score,beta_score,frequency_contribution_type,interpretation_note
1,14,C4,Central,0.001764056686265969,0.0012612933011518584,0.0022486509654073067,0.0001999600079984003,0.0006094019291379819,0.003678317724922557,0.0030055969053028545,0.004315533265287493,0.0001999600079984003,0.0006094019291379819,2,facilitatory,12/18,True,theta,0.00018538860604166985,0.0004479300987441093,0.00041629577754065394,0.00035274052061140537,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band theta supports decoding
2,42,FC4,Fronto-Central,0.0017425237209708602,0.0013864024658629924,0.002088530069332064,0.0001999600079984003,0.0006094019291379819,0.0024700089737221048,0.0019315594601226442,0.0030378209380088027,0.0001999600079984003,0.0006094019291379819,3,facilitatory,14/18,True,delta,0.0006651538424193859,5.531019269255921e-05,0.0001805537467589602,1.4659402040706482e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
3,13,Cz,Central,0.001457234952184889,0.0010618459930942386,0.0018274299317487962,0.0001999600079984003,0.0006094019291379819,0.002639749903737763,0.0021198237131775165,0.0031536261359298664,0.0001999600079984003,0.0006094019291379819,9,facilitatory,12/18,True,beta,0.00031693646451458335,0.00021250583813525736,0.0001853374851634726,0.000503832648973912,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band beta supports decoding
4,51,CP4,Centro-Parietal,0.0012366245006337577,0.0008146994274891458,0.0017114929554087142,0.0001999600079984003,0.0006094019291379819,0.0028693919086161955,0.0022728945889774663,0.0035514659096061445,0.0001999600079984003,0.0006094019291379819,1,facilitatory,13/18,True,beta,0.00012872797378804535,6.799158290959895e-05,0.00023631507065147161,0.00029332711710594594,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band beta supports decoding
5,43,FT8,Temporal,0.001255446907914715,0.0009576391032264556,0.0015284092682011328,0.0001999600079984003,0.0006094019291379819,0.0018846559119813236,0.0014791467768358595,0.002286679811775684,0.0001999600079984003,0.0006094019291379819,8,facilitatory,13/18,True,delta,0.0010410120012238622,5.697067081200657e-06,0.00014902649854775518,-0.00011153690866194665,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
6,8,FC1,Fronto-Central,0.0010583798789683683,0.0007261581238773136,0.0013798988711686783,0.0001999600079984003,0.0006094019291379819,0.002094020523406841,0.0016481675574624981,0.0025304658059720642,0.0001999600079984003,0.0006094019291379819,14,facilitatory,11/18,True,delta,0.0004802321782335639,2.457095069985371e-05,0.0002327339752810076,0.0002201142197009176,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
7,7,FC5,Fronto-Central,0.0007611136009663712,0.00040559390316038957,0.0011107212811892406,0.0001999600079984003,0.0006094019291379819,0.0014275882089579547,0.0009052660046720211,0.0019122773293911673,0.0001999600079984003,0.0006094019291379819,13,facilitatory,10/18,True,delta,0.00028672610642388463,0.0002370085276197642,0.00016003639029804617,-4.6385201130760834e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
8,15,T8,Temporal,0.0006866867380377687,0.00040574815391022483,0.0009619956809429473,0.0001999600079984003,0.0006094019291379819,0.001456816965415154,0.0010537431421287268,0.0018525238933938522,0.0001999600079984003,0.0006094019291379819,6,facilitatory,13/18,True,delta,0.0003183106309734285,7.534613541793078e-05,0.00010645295697031543,-0.00017147827020380646,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
9,60,PO4,Parieto-Occipital,0.0007587172734884568,0.00047268246748933087,0.001026756799975295,0.0001999600079984003,0.0006094019291379819,0.0012384876866399505,0.0008533737485607467,0.0016157329958162187,0.0001999600079984003,0.0006094019291379819,10,facilitatory,12/18,True,theta,0.00022637020447291434,0.0006789840408600867,-0.00013199080422054976,6.040010703145526e-06,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band theta supports decoding
10,40,FT7,Temporal,0.0007988649128395834,0.000617727228152899,0.0009811213013750535,0.0001999600079984003,0.0006094019291379819,0.0010420895910557405,0.0007730460037235861,0.00132037825146575,0.0001999600079984003,0.0006094019291379819,16,facilitatory,13/18,True,delta,0.00039054517401382327,2.0594185116351582e-05,3.45361877407413e-05,1.0748383829195518e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
11,41,FC3,Fronto-Central,0.000690428364424058,0.0004410341970714523,0.0009467541799869065,0.0001999600079984003,0.0006094019291379819,0.001112836628784368,0.0007610421030793661,0.0014872414060396913,0.0001999600079984003,0.0006094019291379819,11,facilitatory,11/18,True,delta,0.00029271841049194336,0.00011254323180764914,4.03149206249509e-05,-5.4097592510515824e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
12,50,CPz,Centro-Parietal,0.0005173986046402543,0.0002119809948367837,0.0008409301929267834,0.002599480103979204,0.005736783677747209,0.001309810111552109,0.0008400171492938644,0.0017743259602122825,0.0001999600079984003,0.0006094019291379819,5,facilitatory,9/18,True,delta,0.0002806281263474375,-9.458705108045251e-07,3.5204822779633105e-05,0.00010804894554894418,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
13,54,P1,Parietal,0.0006270686233485187,0.00042182552888069626,0.0008353413596381375,0.0001999600079984003,0.0006094019291379819,0.0007555734117825826,0.00044358116305536697,0.0010545141648179216,0.0001999600079984003,0.0006094019291379819,20,facilitatory,14/18,True,delta,0.00031466365908272564,-1.583734410814941e-05,0.00011082247510785237,0.00020614212553482503,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
14,44,C5,Central,0.0005821571857840927,0.00044771731966807525,0.0007285869486721944,0.0001999600079984003,0.0006094019291379819,0.0007143315304944545,0.0005196151820781791,0.0009139120355248451,0.0001999600079984003,0.0006094019291379819,33,facilitatory,10/18,True,delta,0.000249099190114066,-0.00011209060903638601,1.156600865215296e-05,7.398086017929018e-05,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
15,21,TP10,Temporal,0.00054950565835576,0.0003440173759504601,0.0007543357638297257,0.0001999600079984003,0.0006094019291379819,0.0006503740946451823,0.0003682195802713618,0.0009400078541150796,0.0001999600079984003,0.0006094019291379819,45,facilitatory,13/18,True,delta,0.00019446422811597586,-5.0333619583398104e-05,0.00019319780403748155,0.00010350328375352547,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
16,49,CP3,Centro-Parietal,0.00041251755055086113,0.0001922115791175102,0.0006358629274699423,0.0001999600079984003,0.0006094019291379819,0.0008246753171638206,0.0005113633562017372,0.0011597265033626261,0.0001999600079984003,0.0006094019291379819,15,facilitatory,12/18,True,beta,0.00010661039414117113,-0.00012876177788712084,6.886470509925857e-05,0.00028270293842069805,broadband_facilitatory,Removing this channel reduces P(attended); significant by both methods; best band beta supports decoding
17,23,P3,Parietal,0.0002854699963404809,-0.0001093033337850629,0.0006809935762926381,0.14357128574285144,0.18016788799102926,0.0009516072346840375,0.00038286277973725494,0.0014827333563639789,0.0009998000399920016,0.002369896391092152,7,facilitatory,10/18,True,theta,0.00019877924933098257,0.0004854974686168134,8.566214819438756e-05,-0.0004687503387685865,broadband_facilitatory,Removing this channel reduces P(attended); significant by permutation only; best band theta supports decoding
18,6,F8,Frontal,0.00037679747298911766,0.00021732539223668019,0.0005461711382240425,0.0003999200159968006,0.0010664533759914684,0.0006211170112645184,0.0003807843559318119,0.0008621133115188573,0.0001999600079984003,0.0006094019291379819,17,facilitatory,11/18,True,delta,0.0003749883908312768,0.0001488733832957223,-6.62764296066598e-06,-2.260755172756035e-05,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
19,5,F4,Frontal,0.0002996262208915051,0.00014424897656764511,0.0004592710951412163,0.0001999600079984003,0.0006094019291379819,0.0006795620256000095,0.0004246640297365778,0.0009170669307127408,0.0001999600079984003,0.0006094019291379819,23,facilitatory,11/18,True,delta,0.00038647648761980236,-0.00011852230090880767,0.00010230236512143165,-5.410637186287204e-06,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
20,22,P7,Parietal,0.00032711069892953944,0.00015304774450667112,0.0004960938560557954,0.0001999600079984003,0.0006094019291379819,0.0003841331159626996,0.00013195690172322004,0.0006272747280237115,0.002599480103979204,0.005736783677747209,18,facilitatory,11/18,True,delta,0.0003256101917941123,5.159922693565022e-06,-2.1758380626124563e-06,-0.00014592264778912067,band_selective,Removing this channel reduces P(attended); significant by both methods; best band delta supports decoding
