channel,electrode_name,roi,occ_rank,is_robust,most_important_band,frequency_contribution_type,delta_dp,delta_ci_lo,delta_ci_hi,theta_dp,theta_ci_lo,theta_ci_hi,alpha_dp,alpha_ci_lo,alpha_ci_hi,beta_dp,beta_ci_lo,beta_ci_hi
14,C4,Central,1,True,theta,broadband_facilitatory,0.00018538860604166985,2.3339736844718584e-05,0.00034201493181171825,0.0004479300987441093,0.00029651157528860496,0.0006008773576468228,0.00041629577754065394,0.00020751771735376696,0.0006168017236632292,0.00035274052061140537,6.250016122066886e-05,0.0006328629242489112
42,FC4,Fronto-Central,2,True,delta,broadband_facilitatory,0.0006651538424193859,0.0005396982567617669,0.0008014162172912619,5.531019269255921e-05,-2.7329350587024196e-05,0.0001359577665425602,0.0001805537467589602,5.815714866912461e-05,0.0003058355847315395,1.4659402040706482e-05,-0.0002099400437145959,0.00024998656153911724
13,Cz,Central,3,True,beta,broadband_facilitatory,0.00031693646451458335,0.00022499485748994633,0.0004131032241275533,0.00021250583813525736,0.00010052999150502729,0.00032444337266497315,0.0001853374851634726,2.626027871883708e-05,0.000344967816636199,0.000503832648973912,0.0002227615019364749,0.0007679851434659211
51,CP4,Centro-Parietal,4,True,beta,broadband_facilitatory,0.00012872797378804535,-4.1902026077877894e-05,0.00030509804419125424,6.799158290959895e-05,-0.0001141164368164027,0.00024064047574938734,0.00023631507065147161,0.00010221653155895184,0.0003778082027565688,0.00029332711710594594,9.496881398263296e-06,0.0005861476136487903
43,FT8,Temporal,5,True,delta,broadband_facilitatory,0.0010410120012238622,0.0008885062154149637,0.001187368354294449,5.697067081200657e-06,-9.207694401993649e-05,0.00010337866206100428,0.00014902649854775518,6.78226117088343e-05,0.00023341175037785414,-0.00011153690866194665,-0.00028379445866448804,5.8328603881818616e-05
8,FC1,Fronto-Central,6,True,delta,broadband_facilitatory,0.0004802321782335639,0.00037749355542473497,0.0005892474480788223,2.457095069985371e-05,-5.8181312670058096e-05,0.00010894858478422963,0.0002327339752810076,9.98826710201684e-05,0.00036563601533998717,0.0002201142197009176,-1.208124685945221e-05,0.00044525589910335826
7,FC5,Fronto-Central,7,True,delta,broadband_facilitatory,0.00028672610642388463,0.00014905824318702806,0.00042114734751521606,0.0002370085276197642,0.00013030492955294905,0.00034053109629894596,0.00016003639029804617,1.7408633493687378e-05,0.00030227671231841663,-4.6385201130760834e-05,-0.000228311385581037,0.00012584047944983463
15,T8,Temporal,8,True,delta,broadband_facilitatory,0.0003183106309734285,0.0001879568935692078,0.0004447265579074155,7.534613541793078e-05,-7.74767522671027e-05,0.0002214346073742485,0.00010645295697031543,2.3051693005982105e-05,0.00018727441383816764,-0.00017147827020380646,-0.00030100931035121893,-3.252658698329482e-05
60,PO4,Parieto-Occipital,9,True,theta,broadband_facilitatory,0.00022637020447291434,0.00012387520000629594,0.00032471529484610055,0.0006789840408600867,0.0005062959418864921,0.0008359129424206913,-0.00013199080422054976,-0.0002093216182402102,-5.585101562246564e-05,6.040010703145526e-06,-0.00014372857185662716,0.0001543880774988791
40,FT7,Temporal,10,True,delta,broadband_facilitatory,0.00039054517401382327,0.00029129021349945107,0.0004864334085141308,2.0594185116351582e-05,-5.9058863917016426e-05,0.00010312745525880014,3.45361877407413e-05,-1.335495335297308e-05,8.462184850941411e-05,1.0748383829195518e-05,-3.38080102665117e-05,5.4328873102349404e-05
