subject,seed,best_epoch,n_epochs_run,test_loss,test_acc,train_wall_seconds
0,41,48,59,1.764903423272901,0.8090277777777778,293.66488575935364
1,41,20,31,0.4157236760689152,0.9548611111111112,153.84908890724182
2,41,48,59,0.7745028369956546,0.9236111111111112,293.275486946106
3,41,45,56,1.0312041259474225,0.8819444444444444,278.08032417297363
4,41,26,37,1.2087406797541511,0.8611111111111112,183.30704736709595
5,41,99,110,1.4032465087042914,0.8263888888888888,544.197735786438
6,41,50,61,0.4869803504811393,0.9409722222222222,304.7939088344574
7,41,40,51,1.0200643787781398,0.8888888888888888,252.25987195968628
8,41,67,78,1.5739081336392298,0.7951388888888888,385.4245798587799
9,41,59,70,0.7658483282559447,0.9236111111111112,346.7108473777771
10,41,55,66,1.1602361295372248,0.875,327.9808611869812
11,41,77,88,0.3316100533637736,0.9791666666666666,435.4859592914581
12,41,44,55,1.370161722931597,0.8402777777777778,271.9577305316925
13,41,43,54,1.44541996717453,0.7986111111111112,266.8187565803528
14,41,42,53,0.5745946930514442,0.9444444444444444,263.29993057250977
15,41,45,56,1.3238512542512682,0.8472222222222222,277.4756691455841
16,41,21,32,1.2470748929513826,0.8576388888888888,158.4917631149292
17,41,17,28,1.045673335591952,0.84375,138.53280901908877
0,42,79,90,1.656462983952628,0.8090277777777778,459.8189795017242
1,42,57,68,0.2974852696061134,0.9756944444444444,348.4295163154602
2,42,77,88,0.7282040119171143,0.9409722222222222,448.71155738830566
3,42,50,61,0.9187685996294022,0.90625,313.1229040622711
4,42,63,74,1.6009196208582983,0.8506944444444444,380.9890878200531
5,42,90,101,1.4461867842409346,0.7881944444444444,518.1139922142029
6,42,88,99,0.4495921051129699,0.9652777777777778,502.5458116531372
7,42,47,58,0.7607350664006339,0.9097222222222222,296.4232244491577
8,42,45,56,1.5568216376834445,0.7847222222222222,286.67000007629395
9,42,42,53,0.9052206757995818,0.90625,266.0323324203491
10,42,33,44,0.9341980802516142,0.8923611111111112,224.14148688316345
11,42,17,28,0.4007186045249303,0.9756944444444444,143.53323459625244
12,42,43,54,1.1416817506154378,0.8576388888888888,275.83254170417786
13,42,15,26,1.1344126595391169,0.8298611111111112,133.7115695476532
14,42,85,96,0.5181984057029089,0.9513888888888888,491.79008078575134
15,42,40,51,1.3662070499526129,0.8298611111111112,260.8243730068207
16,42,59,70,1.389178308347861,0.8541666666666666,359.0170488357544
17,42,49,60,1.281501103606489,0.8368055555555556,306.24045753479004
0,43,40,51,1.8419948981867893,0.7986111111111112,245.2791030406952
1,43,47,58,0.3754524253308773,0.9722222222222222,278.7850410938263
2,43,30,41,0.6800049874517653,0.9583333333333334,197.6745376586914
3,43,100,111,0.9941093267665968,0.8645833333333334,538.8510341644287
4,43,35,46,1.564706380168597,0.8402777777777778,223.27215337753296
5,43,47,58,1.7439862291018169,0.7951388888888888,280.02550888061523
6,43,77,88,0.4512429338776403,0.9444444444444444,421.2695317268372
7,43,21,32,0.9271436035633088,0.8958333333333334,153.0631937980652
8,43,20,31,1.235604766342375,0.8298611111111112,148.1923325061798
9,43,37,48,0.8890492210371627,0.9166666666666666,230.1382827758789
10,43,25,36,1.0444719538920455,0.875,171.88657069206238
11,43,94,105,0.3234442778759532,0.9791666666666666,501.6528151035309
12,43,22,33,1.300606581899855,0.8333333333333334,157.24082684516907
13,43,59,70,1.531844609313541,0.8020833333333334,334.0528316497803
14,43,62,73,0.4737036551038424,0.9618055555555556,348.9976885318756
15,43,43,54,1.2639870742956798,0.8472222222222222,258.13361287117004
16,43,48,59,1.2983162643180952,0.8576388888888888,282.819331407547
17,43,12,23,1.1267843064334655,0.8333333333333334,109.77774453163148
0,44,22,33,1.6076011608044307,0.8159722222222222,174.3799343109131
1,44,113,124,0.3767820203469859,0.9618055555555556,650.097841501236
2,44,67,78,0.6294376684559716,0.9479166666666666,406.89656138420105
3,44,73,84,0.9805583101179864,0.8645833333333334,439.80904483795166
4,44,68,79,1.26658053861724,0.8645833333333334,412.57660007476807
5,44,61,72,1.4724168943034277,0.8229166666666666,376.5461370944977
6,44,40,51,0.5467567394177119,0.9340277777777778,267.38198828697205
7,44,35,46,0.9866562138001124,0.8958333333333334,241.59902334213257
8,44,45,56,1.36948561668396,0.8333333333333334,294.09818029403687
9,44,83,94,0.718841208351983,0.9131944444444444,491.62721586227417
10,44,32,43,0.8807334839883778,0.8993055555555556,224.4305236339569
11,44,124,135,0.3325264594621128,0.9826388888888888,709.2456200122833
12,44,44,55,1.4243364466561212,0.8645833333333334,287.21179461479187
13,44,61,72,1.661906083424886,0.7916666666666666,378.2452619075775
14,44,49,60,0.5824696148435274,0.9340277777777778,313.1546025276184
15,44,45,56,1.3154169354173872,0.8472222222222222,292.37986493110657
16,44,48,59,1.5526475343439314,0.8333333333333334,308.1558282375336
17,44,43,54,1.3627225740088358,0.8402777777777778,283.321736574173
0,45,30,41,1.6524576197067895,0.7951388888888888,197.19572615623477
1,45,75,86,0.3152582128014829,0.9652777777777778,409.8693697452545
2,45,76,87,0.7494181659486558,0.9340277777777778,413.495242357254
3,45,59,70,0.9794677562183804,0.8888888888888888,331.3254237174988
4,45,34,45,1.4477481245994568,0.84375,212.92461681365967
5,45,83,94,1.526391542620129,0.8055555555555556,449.2286229133606
6,45,53,64,0.4631467188398043,0.9583333333333334,306.40600204467773
7,45,48,59,0.8816561185651355,0.8993055555555556,282.8567490577698
8,45,49,60,1.3453560868899028,0.8506944444444444,291.8026895523072
9,45,24,35,0.8477126479976707,0.8958333333333334,182.7622847557068
10,45,35,46,0.9112428480552304,0.90625,233.7102382183075
11,45,94,105,0.3764423471358087,0.9722222222222222,517.7182042598724
12,45,43,54,1.2906376984384325,0.8541666666666666,265.6356167793274
13,45,50,61,1.4019732971986134,0.8263888888888888,299.3853132724762
14,45,72,83,0.5660133726067014,0.9548611111111112,400.6654977798462
