subject,mean_test_acc,std_test_acc,n_seeds
0,0.8055555555555556,0.008505172717997153,5
1,0.9659722222222221,0.008289816934939768,5
2,0.9409722222222221,0.013221828308791456,5
3,0.88125,0.017602488688384123,5
4,0.8520833333333334,0.010588854640261755,5
5,0.8076388888888889,0.016760442202982173,5
6,0.9486111111111111,0.012851913557862337,5
7,0.8979166666666666,0.007607257743127294,5
8,0.81875,0.02771259713782623,5
9,0.9111111111111111,0.010588854640261736,5
10,0.8895833333333334,0.01418945607062675,5
11,0.9777777777777776,0.003958942448260901,5
12,0.85,0.012851913557862308,5
13,0.8097222222222221,0.017256630055262744,5
14,0.9493055555555555,0.01058885464026175,5
15,0.8493055555555555,0.01621196879156771,5
16,0.8444444444444444,0.017256630055262723,5
17,0.83125,0.016760442202982187,5
