channel,correct_delta_p,incorrect_delta_p,difference
0,0.00023490696912631392,-0.0005196402780711651,0.000754547247197479
1,-0.0009042859310284257,-0.003285997547209263,0.002381711616180837
2,0.0008710402180440724,-8.59306164784357e-05,0.0009569708345225081
3,0.0002665871288627386,0.001186793320812285,-0.0009202061919495463
4,0.0006448214990086854,0.0018574711866676807,-0.0012126496876589954
5,-0.0009320217650383711,0.0004628861788660288,-0.0013949079439043999
6,0.0009535697172395885,0.0001512450398877263,0.0008023246773518622
7,0.006093082018196583,-0.006153198424726725,0.012246280442923307
8,0.0045357258059084415,-0.007032273802906275,0.011567999608814716
9,0.0012470141518861055,-0.001064883777871728,0.0023118979297578335
10,0.0034270859323441982,0.002393661765381694,0.0010334241669625044
11,0.0003809746995102614,-0.001038305927067995,0.0014192806265782565
12,-0.0027293318416923285,-1.9850100215990096e-05,-0.0027094817414763384
13,0.00577671779319644,-0.0018546517239883542,0.007631369517184794
14,0.0040883650071918964,-0.005966757889837027,0.010055122897028923
15,-0.0007816392462700605,-0.0009164845105260611,0.00013484526425600052
16,-0.001941248425282538,-0.002449479652568698,0.00050823122728616
17,-0.00022393047402147204,-0.00037609654827974737,0.00015216607425827533
18,-4.076391633134335e-05,0.0005402266979217529,-0.0005809906142530963
19,-0.00041570962639525533,0.0017383414087817073,-0.0021540510351769626
20,-0.0006220468785613775,0.0005345846875570714,-0.001156631566118449
21,-0.00256593176163733,-0.00021879345877096057,-0.0023471383028663695
22,0.0011924132704734802,0.0012695894110947847,-7.717614062130451e-05
23,0.003098524874076247,0.00025644898414611816,0.002842075889930129
24,0.0020459238439798355,-0.0003178791666869074,0.002363803010666743
25,0.0009550747345201671,0.00047817593440413475,0.00047689880011603236
26,-0.000208969708182849,-0.0004588955780491233,0.0002499258698662743
27,0.001322111813351512,0.0018771308241412044,-0.0005550190107896924
28,0.0007418611785396934,-0.0005929172039031982,0.0013347783824428916
29,0.0008618217543698847,-0.0013030270347371697,0.0021648487891070545
30,0.0005144548485986888,0.0013580474769696593,-0.0008435926283709705
31,-0.00010954678145935759,4.36539739894215e-05,-0.0001532007554487791
32,-0.0018431016942486167,-0.007479371502995491,0.005636269808746874
33,-0.0006182619836181402,-0.0015208212425932288,0.0009025592589750886
34,0.00038733184919692576,-0.0008146879845298827,0.0012020198337268084
35,0.0003190124116372317,0.0012934734113514423,-0.0009744609997142106
36,-0.0001376938889734447,0.001478259451687336,-0.0016159533406607807
37,0.00016086459800135344,0.00023354677250608802,-7.268217450473458e-05
38,0.001787056913599372,0.003887016326189041,-0.0020999594125896692
39,-2.11936239793431e-05,-0.0005599441356025636,0.0005387505116232205
40,0.0032936923671513796,0.0021583670750260353,0.0011353252921253443
41,0.0046885390765964985,-0.0002589582290966064,0.004947497305693105
42,0.006937784142792225,0.004037228878587484,0.0029005552642047405
43,0.004370552953332663,0.001876938040368259,0.0024936149129644036
44,0.0014644160401076078,0.0023893339093774557,-0.0009249178692698479
45,-0.0019118523923680186,-0.002757269423455,0.0008454170310869813
46,0.001000348012894392,0.0007436000742018223,0.00025674793869256973
47,-0.00010962784290313721,1.4664496120531112e-05,-0.00012429233902366832
48,-0.0009525811765342951,-0.0012367625022307038,0.00028418132569640875
49,-0.00017604976892471313,-0.0010772990062832832,0.0009012492373585701
50,0.005235082004219294,0.0024563546758145094,0.002778727328404784
51,-0.0018673852318897843,0.0002029152528848499,-0.0020703004847746342
52,-0.004795416258275509,-0.005741454660892487,0.0009460384026169777
53,-0.0005468502640724182,0.000670990499202162,-0.0012178407632745802
54,-0.0023590675555169582,0.00016410561511293054,-0.0025231731706298888
55,-0.002428582403808832,0.000567553099244833,-0.002996135503053665
56,-0.0009050905937328935,4.877237734035589e-05,-0.0009538629710732494
57,-0.001801517908461392,-0.0007040605996735394,-0.0010974573087878525
58,0.0011688703671097755,0.0002782595984172076,0.0008906107686925679
59,0.0005111238569952548,0.0006317683146335185,-0.0001206444576382637
60,0.003731300588697195,0.002114776289090514,0.0016165242996066809
61,-2.378553108428605e-05,-0.00028484474751167,0.00026105921642738394
62,-0.0015248123090714216,0.0005418138462118804,-0.002066626155283302
63,0.00018282652308698744,0.0008076750673353672,-0.0006248485442483798
