subject,Frontal (0-11),Fronto-Central (12-17),Central (18-29),Temporal (30-41),Parietal (42-53),Occipital (54-63)
S1,0.0018815820246042374,0.0017686335268081166,0.0009288690810838792,0.0010822750964507577,0.0021346396364000006,0.0016030914077418857
S10,0.0019556000347620284,0.0024977201828733087,0.001284760289991027,0.002518610366678331,0.002995592788617311,0.0012875749525846913
S11,0.0013343937098397873,0.0026380155565372356,0.0011467698068372556,0.0004624966762397283,0.001349451096757548,0.0006114865584095242
S12,0.0016310577654318574,0.0019929498096947404,0.0012040809713198541,0.0013660761105711572,0.002326343372260453,0.0009969880547714637
S13,0.0016245334287911344,0.002254300178416694,0.0015629043385464076,0.0011748278545079909,0.0030125585277952873,0.00185157076575706
S14,0.0021087882826880864,0.0027553329806930074,0.002925903048890177,0.0016045464217313565,0.0016412789700552821,0.0007303116908587981
S15,0.0017172094661267086,0.003529438719851896,0.0019351306157962729,0.0017509892001423093,0.0020206480573203103,0.001451905971043743
S16,0.0023007653265570602,0.0021803752557995417,0.0015237745196827746,0.0017050153546733782,0.002070844915579073,0.0010961469020912772
S17,0.0017100735567510128,0.0020024558956113956,0.0004261295513667089,0.001349559739689236,0.003086607660710191,0.0010534747823840007
S18,0.0016728980056844496,0.005471225624205545,0.002519220606094071,0.0018461653526173905,0.0033148001796992808,0.0012317266344325617
S2,0.002107046606397489,0.0026960461982525885,0.0021081718732602894,0.0017150481641389586,0.0020781727665356207,0.0011755600002288703
S3,0.002096353932453591,0.004751193549357898,0.0012048038506691228,0.0010022800900818158,0.00353040859530059,0.002000896303798072
S4,0.0011086276590503985,0.001996857434278354,0.0017337903409497812,0.0013497330219252035,0.001736927858776956,0.0013400197101873345
S5,0.0015087456437565077,0.004614114412106574,0.0023171405434065187,0.0009829741184148588,0.0022585075930692255,0.0008707239845534787
S6,0.0019708901236299425,0.0034675111067675366,0.002066425500136878,0.0015506210947933141,0.0026968593653388475,0.001763489756558556
S7,0.001411004901456181,0.0024889556031363704,0.0017963128721021349,0.0011410265727439157,0.001214535221758221,0.0013456165412208065
S8,0.002956435079492318,0.001882371415073673,0.0021871030767215416,0.0015933343241461746,0.002778990911489624,0.0012955098267411814
S9,0.002486962914796701,0.002705002232687548,0.001873506946139969,0.001985359449463431,0.002117903096101751,0.0011096366040874272
