index,aadnet_channel_name,montage_channel_name,match
0,Fp1,Fp1,True
1,AF7,Fp2,False
2,AF3,F7,False
3,F1,F3,False
4,F3,Fz,False
5,F5,F4,False
6,F7,F8,False
7,FT7,FC5,False
8,FC5,FC1,False
9,FC3,FC2,False
10,FC1,FC6,False
11,C1,T7,False
12,C3,C3,True
13,C5,Cz,False
14,T7,C4,False
15,TP7,T8,False
16,CP5,TP9,False
17,CP3,CP5,False
18,CP1,CP1,True
19,P1,CP2,False
20,P3,CP6,False
21,P5,TP10,False
22,P7,P7,True
23,P9,P3,False
24,PO7,Pz,False
25,PO3,P4,False
26,O1,P8,False
27,Iz,PO9,False
28,Oz,O1,False
29,POz,Oz,False
30,Pz,O2,False
31,CPz,PO10,False
32,Fpz,AF7,False
33,Fp2,AF3,False
34,AF8,AF4,False
35,AF4,AF8,False
36,AFz,F5,False
37,Fz,F1,False
38,F2,F2,True
39,F4,F6,False
40,F6,FT7,False
41,F8,FC3,False
42,FT8,FC4,False
43,FC6,FT8,False
44,FC4,C5,False
45,FC2,C1,False
46,FCz,C2,False
47,Cz,C6,False
48,C2,TP7,False
49,C4,CP3,False
50,C6,CPz,False
51,T8,CP4,False
52,TP8,TP8,True
53,CP6,P5,False
54,CP4,P1,False
55,CP2,P2,False
56,P2,P6,False
57,P4,PO7,False
58,P6,PO3,False
59,P8,POz,False
60,P10,PO4,False
61,PO8,PO8,True
62,PO4,M1,False
63,O2,M2,False
