roi,electrode_name,channel_index,degree_distance,degree_roi
Central,C1,45,6.0,6.0
Central,C2,46,6.0,6.0
Central,C3,12,9.0,6.0
Central,C4,14,9.0,6.0
Central,C5,44,10.0,6.0
Central,C6,47,10.0,6.0
Central,Cz,13,6.0,6.0
Centro-Parietal,CP1,18,7.0,6.0
Centro-Parietal,CP2,19,6.0,6.0
Centro-Parietal,CP3,49,6.0,6.0
Centro-Parietal,CP4,51,6.0,6.0
Centro-Parietal,CP5,17,7.0,6.0
Centro-Parietal,CP6,20,7.0,6.0
Centro-Parietal,CPz,50,6.0,6.0
Frontal,AF3,33,6.0,14.0
Frontal,AF4,34,6.0,14.0
Frontal,AF7,32,6.0,14.0
Frontal,AF8,35,6.0,14.0
Frontal,F1,37,7.0,14.0
Frontal,F2,38,7.0,14.0
Frontal,F3,3,7.0,14.0
Frontal,F4,5,7.0,14.0
Frontal,F5,36,8.0,14.0
Frontal,F6,39,8.0,14.0
Frontal,F7,2,6.0,14.0
Frontal,F8,6,6.0,14.0
Frontal,Fp1,0,6.0,14.0
Frontal,Fp2,1,6.0,14.0
Frontal,Fz,4,6.0,14.0
Fronto-Central,FC1,8,7.0,5.0
Fronto-Central,FC2,9,7.0,5.0
Fronto-Central,FC3,41,8.0,5.0
Fronto-Central,FC4,42,8.0,5.0
Fronto-Central,FC5,7,8.0,5.0
Fronto-Central,FC6,10,8.0,5.0
Mastoid,M1,62,7.0,1.0
Mastoid,M2,63,7.0,1.0
Occipital,O1,28,6.0,2.0
Occipital,O2,30,6.0,2.0
Occipital,Oz,29,6.0,2.0
Parietal,P1,54,7.0,8.0
Parietal,P2,55,7.0,8.0
Parietal,P3,23,8.0,8.0
Parietal,P4,25,8.0,8.0
Parietal,P5,53,6.0,8.0
Parietal,P6,56,6.0,8.0
Parietal,P7,22,7.0,8.0
Parietal,P8,26,7.0,8.0
Parietal,Pz,24,6.0,8.0
Parieto-Occipital,PO10,31,6.0,6.0
Parieto-Occipital,PO3,58,8.0,6.0
Parieto-Occipital,PO4,60,9.0,6.0
Parieto-Occipital,PO7,57,6.0,6.0
Parieto-Occipital,PO8,61,6.0,6.0
Parieto-Occipital,PO9,27,6.0,6.0
Parieto-Occipital,POz,59,8.0,6.0
Temporal,FT7,40,6.0,7.0
Temporal,FT8,43,6.0,7.0
Temporal,T7,11,7.0,7.0
Temporal,T8,15,7.0,7.0
Temporal,TP10,21,6.0,7.0
Temporal,TP7,48,6.0,7.0
Temporal,TP8,52,6.0,7.0
Temporal,TP9,16,6.0,7.0
