roi,electrode_name,channel_index,degree_distance,degree_roi
Central,C1,11,7.0,6.0
Central,C2,48,7.0,6.0
Central,C3,12,10.0,6.0
Central,C4,49,10.0,6.0
Central,C5,13,8.0,6.0
Central,C6,50,8.0,6.0
Central,Cz,47,6.0,6.0
Centro-Parietal,CP1,18,6.0,6.0
Centro-Parietal,CP2,55,7.0,6.0
Centro-Parietal,CP3,17,7.0,6.0
Centro-Parietal,CP4,54,7.0,6.0
Centro-Parietal,CP5,16,7.0,6.0
Centro-Parietal,CP6,53,7.0,6.0
Centro-Parietal,CPz,31,6.0,6.0
Frontal,AF3,2,7.0,16.0
Frontal,AF4,35,6.0,16.0
Frontal,AF7,1,6.0,16.0
Frontal,AF8,34,6.0,16.0
Frontal,AFz,36,8.0,16.0
Frontal,F1,3,8.0,16.0
Frontal,F2,38,8.0,16.0
Frontal,F3,4,7.0,16.0
Frontal,F4,39,7.0,16.0
Frontal,F5,5,6.0,16.0
Frontal,F6,40,6.0,16.0
Frontal,F7,6,6.0,16.0
Frontal,F8,41,6.0,16.0
Frontal,Fp1,0,6.0,16.0
Frontal,Fp2,33,6.0,16.0
Frontal,Fpz,32,6.0,16.0
Frontal,Fz,37,6.0,16.0
Fronto-Central,FC1,10,6.0,6.0
Fronto-Central,FC2,45,7.0,6.0
Fronto-Central,FC3,9,8.0,6.0
Fronto-Central,FC4,44,8.0,6.0
Fronto-Central,FC5,8,7.0,6.0
Fronto-Central,FC6,43,7.0,6.0
Fronto-Central,FCz,46,6.0,6.0
Occipital,Iz,27,6.0,3.0
Occipital,O1,26,6.0,3.0
Occipital,O2,63,6.0,3.0
Occipital,Oz,28,6.0,3.0
Parietal,P1,19,7.0,8.0
Parietal,P2,56,7.0,8.0
Parietal,P3,20,7.0,8.0
Parietal,P4,57,7.0,8.0
Parietal,P5,21,6.0,8.0
Parietal,P6,58,6.0,8.0
Parietal,P7,22,6.0,8.0
Parietal,P8,59,6.0,8.0
Parietal,Pz,30,7.0,8.0
Parieto-Occipital,P10,60,6.0,6.0
Parieto-Occipital,P9,23,6.0,6.0
Parieto-Occipital,PO3,25,9.0,6.0
Parieto-Occipital,PO4,62,6.0,6.0
Parieto-Occipital,PO7,24,6.0,6.0
Parieto-Occipital,PO8,61,6.0,6.0
Parieto-Occipital,POz,29,9.0,6.0
Temporal,FT7,7,6.0,5.0
Temporal,FT8,42,6.0,5.0
Temporal,T7,14,6.0,5.0
Temporal,T8,51,6.0,5.0
Temporal,TP7,15,6.0,5.0
Temporal,TP8,52,6.0,5.0
