subject_id,fold,accuracy,n_train_windows,n_test_windows
0,0,0.3484848484848485,94248,792
0,1,0.43308080808080807,94446,792
0,2,0.4583333333333333,94149,792
0,3,0.4595959595959596,94743,792
0,4,0.31746031746031744,95139,693
0,5,0.4126984126984127,95436,693
0,6,0.33910533910533913,95238,693
0,7,0.5772005772005772,95337,693
1,0,0.12878787878787878,94743,792
1,1,0.5871212121212122,94446,792
1,2,0.4810606060606061,94446,792
1,3,0.32702020202020204,94743,792
1,4,0.5165945165945166,95733,693
1,5,0.5786435786435786,95238,693
1,6,0.30735930735930733,95535,693
1,7,0.48484848484848486,96822,693
2,0,0.35858585858585856,94842,792
2,1,0.4090909090909091,94545,792
2,2,0.5088383838383839,94842,792
2,3,0.12121212121212122,94644,792
2,4,0.31024531024531027,95733,693
2,5,0.22077922077922077,95535,693
2,6,0.47474747474747475,95733,693
2,7,0.5959595959595959,95436,693
3,0,0.35858585858585856,94248,792
3,1,0.17803030303030304,94644,792
3,2,0.5025252525252525,93951,792
3,3,0.44191919191919193,94248,792
3,4,0.5064935064935064,95337,693
3,5,0.024531024531024532,95535,693
3,6,0.3088023088023088,95238,693
3,7,0.4184704184704185,95733,693
4,0,0.29419191919191917,94941,792
4,1,0.45580808080808083,95040,792
4,2,0.3952020202020202,95040,792
4,3,0.25,95040,792
4,4,0.49206349206349204,96525,693
4,5,0.4935064935064935,95733,693
4,6,0.494949494949495,95931,693
4,7,0.48484848484848486,95832,693
5,0,0.5808080808080808,94545,792
5,1,0.2563131313131313,94644,792
5,2,0.5050505050505051,94446,792
5,3,0.5328282828282829,94545,792
5,4,0.30158730158730157,95832,693
5,5,0.2987012987012987,95634,693
5,6,0.5353535353535354,95733,693
5,7,0.4054834054834055,95931,693
6,0,0.14267676767676768,95139,792
6,1,0.4393939393939394,94941,792
6,2,0.37373737373737376,95436,792
6,3,0.2601010101010101,95238,792
6,4,0.15584415584415584,95634,693
6,5,0.5642135642135642,95733,693
6,6,0.5252525252525253,95931,693
6,7,0.5367965367965368,96228,693
7,0,0.13131313131313133,94149,792
7,1,0.0025252525252525255,94248,792
7,2,0.4431818181818182,94248,792
7,3,0.4128787878787879,94347,792
7,4,0.4227994227994228,95436,693
7,5,0.5483405483405484,95634,693
7,6,0.5425685425685426,95436,693
7,7,0.47474747474747475,95436,693
8,0,0.5366161616161617,95436,792
8,1,0.30808080808080807,94941,792
8,2,0.39141414141414144,95040,792
8,3,0.3926767676767677,95238,792
8,4,0.5670995670995671,95832,693
8,5,0.4098124098124098,96030,693
8,6,0.4444444444444444,95832,693
8,7,0.3953823953823954,95931,693
9,0,0.6237373737373737,94941,792
9,1,0.6376262626262627,94842,792
9,2,0.14646464646464646,94743,792
9,3,0.14267676767676768,95337,792
9,4,0.6435786435786436,95436,693
9,5,0.29148629148629146,95535,693
9,6,0.16883116883116883,95436,693
9,7,0.32756132756132755,95238,693
10,0,0.6035353535353535,94644,792
10,1,0.375,94743,792
10,2,0.4962121212121212,95139,792
10,3,0.577020202020202,94743,792
10,4,0.5310245310245311,95733,693
10,5,0.2857142857142857,95535,693
10,6,0.1471861471861472,95832,693
10,7,0.5974025974025974,95337,693
11,0,0.5568181818181818,95238,792
11,1,0.4356060606060606,94842,792
11,2,0.49747474747474746,94446,792
11,3,0.47095959595959597,94743,792
11,4,0.5064935064935064,95733,693
11,5,0.43001443001443,95436,693
11,6,0.45165945165945165,95535,693
11,7,0.28715728715728717,95931,693
12,0,0.5113636363636364,95040,792
12,1,0.125,95436,792
12,2,0.5063131313131313,95634,792
12,3,0.4722222222222222,95040,792
12,4,0.001443001443001443,95535,693
12,5,0.5757575757575758,95733,693
12,6,0.4862914862914863,95931,693
12,7,0.34054834054834054,95931,693
13,0,0.5025252525252525,94446,792
13,1,0.4684343434343434,95238,792
13,2,0.5088383838383839,94545,792
13,3,0.5909090909090909,94743,792
13,4,0.30735930735930733,95634,693
13,5,0.4588744588744589,95139,693
13,6,0.42857142857142855,95535,693
13,7,0.5526695526695526,96228,693
14,0,0.37373737373737376,94545,792
14,1,0.13383838383838384,94545,792
14,2,0.5820707070707071,94248,792
14,3,0.24873737373737373,94347,792
14,4,0.6031746031746031,95139,693
14,5,0.43001443001443,94941,693
14,6,0.41125541125541126,95634,693
14,7,0.5642135642135642,95337,693
15,0,0.6035353535353535,94842,792
15,1,0.3661616161616162,95337,792
15,2,0.40025252525252525,95139,792
15,3,0.37373737373737376,94347,792
15,4,0.4025974025974026,95436,693
15,5,0.4227994227994228,95634,693
15,6,0.56998556998557,95634,693
15,7,0.1847041847041847,95535,693
16,0,0.26136363636363635,94545,792
16,1,0.15656565656565657,94446,792
16,2,0.4595959595959596,94545,792
16,3,0.375,94743,792
16,4,0.2453102453102453,95238,693
16,5,0.5324675324675324,95040,693
16,6,0.5526695526695526,95139,693
16,7,0.4531024531024531,95238,693
17,0,0.13383838383838384,94248,792
17,1,0.3939393939393939,94545,792
17,2,0.49873737373737376,94347,792
17,3,0.5340909090909091,94446,792
17,4,0.41414141414141414,95436,693
17,5,0.2842712842712843,95139,693
17,6,0.4588744588744589,95832,693
17,7,0.0,95139,693
