subject_id,mean,std,min,max,count
0,0.4182,0.0846,0.3175,0.5772,8
1,0.4264,0.1586,0.1288,0.5871,8
2,0.3749,0.1561,0.1212,0.596,8
3,0.3424,0.1681,0.0245,0.5065,8
4,0.4201,0.0979,0.25,0.4949,8
5,0.427,0.1279,0.2563,0.5808,8
6,0.3748,0.1707,0.1427,0.5642,8
7,0.3723,0.198,0.0025,0.5483,8
8,0.4307,0.0843,0.3081,0.5671,8
9,0.3727,0.2271,0.1427,0.6436,8
10,0.4516,0.1667,0.1472,0.6035,8
11,0.4545,0.0795,0.2872,0.5568,8
12,0.3774,0.2074,0.0014,0.5758,8
13,0.4773,0.0861,0.3074,0.5909,8
14,0.4184,0.1665,0.1338,0.6032,8
15,0.4155,0.1294,0.1847,0.6035,8
16,0.3795,0.1449,0.1566,0.5527,8
17,0.3397,0.1877,0.0,0.5341,8
